Acedamic percentage in Operating Systems,percentage in Algorithms,Percentage in Programming Concepts,Percentage in Software Engineering,Percentage in Computer Networks,Percentage in Electronics Subjects,Percentage in Computer Architecture,Percentage in Mathematics,Percentage in Communication skills,Hours working per day,Logical quotient rating,hackathons,coding skills rating,public speaking points,can work long time before system?,self-learning capability?,Suggested Job Role
75,81,75,72,66,45,79,87,75,10,7,1,7,5,yes,yes,Database Administrator
87,77,81,70,78,56,84,81,75,8,8,2,8,5,no,yes,Database Administrator
89,82,73,84,67,53,85,81,72,8,7,0,8,5,yes,yes,Database Administrator
89,73,82,77,92,64,76,76,82,12,7,2,7,6,yes,yes,DevOps Engineer
90,57,57,60,95,93,85,66,72,7,6,0,5,6,yes,no,Network Engineer
83,96,81,78,68,63,77,96,82,10,9,2,9,7,yes,yes,Machine Learning Engineer
75,82,80,89,70,52,77,72,78,7,7,1,6,7,yes,no,Quality Assurance Engineer
82,75,76,77,69,54,90,70,75,7,7,2,8,4,yes,yes,Database Administrator
82,84,87,68,66,42,76,96,80,11,9,4,9,5,yes,yes,Data Scientist
86,88,85,75,61,59,71,90,84,10,8,6,9,6,yes,yes,Machine Learning Engineer
70,76,81,85,67,53,84,76,76,8,8,2,7,4,yes,yes,Database Administrator
56,45,73,67,47,35,50,56,87,7,7,1,6,8,yes,yes,UI/UX Designer
67,69,74,80,62,56,69,76,70,7,7,2,7,7,yes,yes,Quality Assurance Engineer
93,79,77,71,97,72,77,80,82,7,8,2,8,6,yes,yes,Cybersecurity Analyst
89,77,76,91,87,57,76,69,82,9,7,1,8,6,yes,yes,DevOps Engineer
79,76,80,76,75,56,94,82,79,7,8,2,7,6,no,yes,Systems Analyst
69,81,71,89,76,51,70,83,80,7,7,3,6,7,yes,yes,Quality Assurance Engineer
66,45,74,73,64,45,52,73,82,7,6,4,6,7,no,yes,UI/UX Designer
66,79,65,80,78,43,72,79,78,8,8,2,7,7,yes,yes,Quality Assurance Engineer
76,94,87,75,75,69,68,89,70,9,8,4,9,6,yes,yes,Machine Learning Engineer
83,76,84,76,95,66,89,87,77,7,9,1,8,5,no,yes,Cybersecurity Analyst
67,83,92,70,52,61,70,90,74,10,9,4,9,5,no,yes,Data Scientist
94,68,65,71,97,87,83,77,74,9,7,2,6,6,yes,yes,Network Engineer
51,56,51,68,48,36,63,74,88,9,7,1,4,8,yes,yes,Business Analyst
65,57,61,67,46,59,64,72,87,8,8,0,4,8,yes,yes,Business Analyst
94,93,89,84,70,60,71,87,63,7,8,6,7,7,yes,yes,Software Engineer
90,85,75,78,94,67,76,77,72,8,8,3,8,5,yes,yes,Cybersecurity Analyst
72,81,80,86,80,48,67,60,67,7,7,5,9,6,no,yes,Web Developer
80,80,76,77,78,53,79,78,84,9,9,4,9,7,yes,yes,DevOps Engineer
69,45,61,76,46,45,56,66,77,6,7,2,6,7,yes,yes,UI/UX Designer
59,73,56,75,73,64,71,69,90,9,8,2,6,8,yes,yes,Project Manager
78,77,80,77,69,56,70,67,65,10,7,5,9,6,no,no,Mobile App Developer
82,69,78,83,74,51,64,61,80,6,6,5,7,5,no,yes,Web Developer
79,97,91,76,69,58,74,93,72,8,8,6,9,5,yes,yes,Machine Learning Engineer
82,91,93,78,66,63,62,94,76,7,9,1,9,6,no,yes,Data Scientist
51,60,71,62,45,52,67,53,89,9,6,3,6,7,no,yes,UI/UX Designer
82,88,84,76,62,63,73,97,68,10,9,3,8,5,no,yes,Machine Learning Engineer
53,72,67,64,50,59,46,81,85,6,8,1,3,9,yes,yes,Business Analyst
74,79,78,78,83,58,71,65,73,7,7,4,7,7,no,yes,Web Developer
76,77,83,78,86,70,88,79,74,8,8,2,7,7,no,no,Systems Analyst
61,77,89,71,71,37,62,77,78,9,7,3,8,5,yes,yes,Web Developer
75,71,74,64,95,85,77,66,65,10,8,0,5,7,no,yes,Network Engineer
88,89,91,85,75,48,70,88,83,12,9,3,8,7,yes,yes,Machine Learning Engineer
91,86,96,87,79,64,68,79,62,6,7,3,9,7,yes,yes,Software Engineer
96,82,70,67,96,61,84,70,73,10,9,1,7,7,yes,yes,Cybersecurity Analyst
78,83,68,78,77,57,89,79,75,10,8,0,7,5,yes,no,Database Administrator
61,61,54,72,72,54,74,73,83,9,8,0,4,8,yes,no,Project Manager
74,58,63,73,60,48,66,67,83,9,7,1,4,8,no,yes,Project Manager
90,63,53,69,91,92,72,82,73,7,8,1,6,6,no,no,Network Engineer
75,94,86,90,79,51,66,93,73,9,8,4,9,5,yes,yes,Machine Learning Engineer
61,74,67,67,51,43,68,86,89,6,8,0,3,8,no,yes,Business Analyst
53,63,52,61,50,57,55,73,93,7,7,1,3,9,yes,yes,Business Analyst
93,77,81,84,94,63,93,70,74,7,8,1,8,6,yes,yes,Cloud Architect
91,73,73,83,80,45,84,73,87,9,9,4,7,8,no,yes,DevOps Engineer
54,56,59,70,54,54,45,88,93,6,8,0,3,9,yes,yes,Business Analyst
95,77,80,91,91,46,87,73,80,11,8,4,9,6,yes,yes,DevOps Engineer
82,89,77,76,74,54,80,74,61,7,7,1,8,6,no,yes,Database Administrator
78,79,80,86,77,60,83,76,83,9,7,0,6,6,no,yes,Systems Analyst
96,68,86,83,94,46,85,72,77,10,7,1,7,6,yes,yes,DevOps Engineer
80,71,72,78,67,41,81,74,64,10,7,0,6,6,yes,no,Database Administrator
82,76,71,75,89,50,90,83,76,11,8,2,8,7,yes,yes,Cloud Architect
94,82,82,89,94,66,93,83,72,8,8,1,8,7,no,yes,Cloud Architect
66,67,61,73,46,53,47,71,91,7,8,0,3,9,yes,yes,Business Analyst
57,48,64,66,48,50,63,65,83,9,6,3,6,7,yes,no,UI/UX Designer
81,79,83,85,89,50,83,64,71,9,8,4,7,8,yes,no,DevOps Engineer
82,80,83,72,79,46,81,75,62,8,7,2,6,6,no,yes,Database Administrator
76,77,78,79,64,57,73,82,70,8,7,1,6,7,no,yes,Quality Assurance Engineer
78,94,83,88,68,61,80,91,66,8,8,4,9,6,yes,yes,Machine Learning Engineer
84,79,92,90,76,61,72,71,74,6,8,6,8,6,no,yes,Mobile App Developer
80,97,85,67,71,49,69,89,85,10,9,1,9,6,yes,yes,Data Scientist
83,70,73,82,83,56,85,77,64,8,7,1,6,6,yes,yes,Database Administrator
91,90,79,82,85,69,72,85,70,9,8,3,7,5,no,yes,Cybersecurity Analyst
73,86,87,75,63,58,70,97,83,11,8,4,9,5,yes,yes,Data Scientist
71,85,93,90,59,54,81,96,68,12,9,6,9,7,yes,yes,Machine Learning Engineer
87,81,83,77,71,57,89,74,81,7,7,0,7,6,yes,yes,Systems Analyst
97,82,76,89,92,62,83,83,71,11,8,3,8,8,yes,yes,DevOps Engineer
57,63,60,80,64,53,63,79,89,8,7,2,4,8,yes,yes,Project Manager
88,83,84,86,86,73,88,65,77,9,9,1,8,8,no,no,Cloud Architect
67,72,82,81,72,45,68,62,74,8,6,4,7,5,yes,yes,Web Developer
67,76,72,86,77,42,71,66,83,7,8,1,6,7,yes,yes,Quality Assurance Engineer
64,59,60,71,46,54,58,53,79,6,7,4,6,8,yes,yes,UI/UX Designer
85,78,82,71,68,51,81,84,66,7,8,1,6,4,yes,yes,Database Administrator
94,79,83,87,85,57,83,69,73,8,8,4,8,8,no,yes,DevOps Engineer
76,64,67,71,84,81,75,81,68,10,6,1,6,5,yes,yes,Network Engineer
83,83,84,81,86,67,97,66,84,7,8,1,8,6,yes,yes,Cloud Architect
91,91,85,93,84,41,79,80,67,7,9,6,7,5,yes,yes,Software Engineer
56,62,66,82,72,63,64,61,81,9,8,2,4,8,yes,no,Project Manager
78,97,93,79,64,43,66,97,72,7,9,4,7,5,yes,yes,Data Scientist
80,86,89,90,67,45,76,93,80,7,8,3,8,7,yes,yes,Software Engineer
67,80,78,72,52,49,61,95,79,11,9,2,9,7,yes,yes,Data Scientist
78,73,84,76,71,40,83,79,69,8,8,5,8,7,no,yes,Mobile App Developer
76,89,86,82,68,53,64,80,83,10,8,5,7,7,yes,yes,Mobile App Developer
65,83,87,72,71,56,63,76,69,7,8,1,9,7,no,yes,Web Developer
76,86,68,76,74,64,80,70,73,9,8,1,7,7,yes,yes,Systems Analyst
86,81,71,85,75,53,77,88,77,8,8,1,6,5,no,no,Database Administrator
88,65,59,65,85,71,80,78,65,8,7,0,5,5,yes,no,Network Engineer
57,65,71,76,62,38,64,51,76,7,6,2,7,8,no,no,UI/UX Designer
95,76,74,82,96,66,80,80,81,11,9,1,8,6,yes,yes,Cybersecurity Analyst
73,93,81,87,59,46,75,88,77,12,9,6,9,7,yes,yes,Machine Learning Engineer
94,87,85,66,94,73,75,71,72,10,8,4,8,7,yes,yes,Cybersecurity Analyst
63,48,66,71,61,55,64,59,77,8,7,4,5,8,no,yes,UI/UX Designer
88,69,60,55,82,86,88,73,67,7,8,2,4,5,yes,yes,Network Engineer
65,71,54,76,60,54,66,75,86,7,7,1,4,8,yes,no,Business Analyst
84,78,86,77,78,60,90,80,73,10,8,1,7,7,no,yes,DevOps Engineer
78,75,84,71,73,60,80,72,79,8,7,0,8,4,yes,yes,Database Administrator
93,90,83,76,85,73,79,83,82,7,8,2,8,6,yes,yes,Cybersecurity Analyst
71,71,73,78,66,59,77,77,80,6,8,1,7,6,yes,yes,Quality Assurance Engineer
86,76,70,84,84,64,92,83,72,10,9,1,8,7,yes,yes,Cloud Architect
89,65,73,75,91,61,81,82,84,12,8,4,9,6,yes,yes,DevOps Engineer
63,72,90,85,68,47,67,56,67,7,8,3,9,5,yes,no,Web Developer
75,77,74,87,74,63,89,83,80,8,8,2,6,6,yes,yes,Systems Analyst
89,73,50,58,93,83,72,76,62,10,7,1,4,5,yes,yes,Network Engineer
67,96,78,68,63,48,68,93,87,8,8,4,9,6,yes,yes,Data Scientist
79,76,65,78,73,70,84,73,75,8,7,2,6,7,yes,no,Systems Analyst
75,89,82,71,70,48,77,70,60,9,7,0,8,4,yes,yes,Database Administrator
82,78,70,78,93,83,73,87,78,7,9,1,8,7,yes,yes,Cybersecurity Analyst
88,75,67,74,66,59,78,79,69,10,7,2,8,5,yes,yes,Database Administrator
89,88,88,77,74,63,82,91,72,8,9,4,9,6,yes,yes,Machine Learning Engineer
53,63,59,65,61,54,62,73,88,7,7,0,5,8,no,no,Business Analyst
71,58,64,71,71,51,71,69,97,9,8,0,5,9,yes,no,Project Manager
84,84,78,76,69,63,77,85,88,7,9,2,7,6,yes,yes,Data Scientist
84,84,74,76,73,47,65,67,85,6,8,3,6,7,no,yes,Quality Assurance Engineer
79,90,94,89,78,51,87,89,84,8,7,4,9,4,yes,yes,Software Engineer
86,74,85,75,90,64,88,80,72,11,8,1,7,6,no,yes,Cloud Architect
82,83,72,86,70,48,63,71,86,8,7,2,6,6,yes,no,Quality Assurance Engineer
69,57,57,72,46,43,62,57,90,9,6,3,5,8,yes,yes,UI/UX Designer
76,75,77,84,75,50,79,76,73,9,6,5,7,6,yes,yes,Web Developer
93,75,79,91,78,68,89,75,82,8,9,3,8,6,yes,no,DevOps Engineer
72,74,71,91,66,63,78,73,71,7,8,3,6,7,yes,yes,Quality Assurance Engineer
78,62,64,57,94,82,78,61,67,10,6,1,4,5,yes,yes,Network Engineer
66,92,93,70,65,41,67,85,71,8,9,4,8,6,yes,yes,Data Scientist
81,82,91,76,77,52,68,72,77,8,6,5,9,5,yes,yes,Web Developer
88,79,71,89,92,60,95,75,70,8,9,1,8,6,yes,no,Cloud Architect
60,62,66,62,58,36,60,75,80,7,8,1,3,8,yes,yes,Business Analyst
94,55,50,66,81,73,86,63,70,8,7,0,6,6,yes,yes,Network Engineer
71,75,75,80,83,43,56,66,68,9,7,3,7,7,yes,yes,Web Developer
66,85,89,74,72,63,66,89,70,11,8,2,8,5,yes,no,Data Scientist
67,68,66,67,46,36,54,50,78,7,6,1,7,8,yes,yes,UI/UX Designer
83,88,81,67,69,45,61,97,75,9,9,2,8,5,yes,yes,Data Scientist
80,86,68,81,74,45,75,76,75,10,8,2,7,5,yes,yes,Database Administrator
92,66,55,59,80,81,80,63,77,10,6,1,4,6,yes,yes,Network Engineer
71,72,78,73,83,52,81,81,62,9,7,0,7,4,no,no,Database Administrator
66,80,81,75,61,62,68,81,66,9,7,3,9,6,yes,yes,Mobile App Developer
87,86,93,90,61,45,81,94,69,10,8,6,8,5,yes,yes,Machine Learning Engineer
70,70,93,88,62,62,69,78,83,8,8,5,9,6,yes,no,Mobile App Developer
82,74,86,81,89,45,85,76,74,10,7,4,7,8,yes,yes,DevOps Engineer
91,69,80,77,89,58,85,79,77,11,9,4,8,8,yes,yes,DevOps Engineer
76,74,59,56,81,93,86,75,75,8,8,0,6,7,no,yes,Network Engineer
74,75,87,74,65,58,66,65,81,9,8,1,8,5,no,yes,Web Developer
78,94,91,89,69,48,68,94,65,9,9,2,9,7,yes,yes,Machine Learning Engineer
90,83,86,82,84,51,87,80,79,11,8,3,8,6,yes,yes,Cloud Architect
73,92,89,76,58,59,68,89,71,10,8,2,8,5,yes,yes,Machine Learning Engineer
68,96,87,82,54,63,62,95,82,10,9,3,8,6,yes,yes,Data Scientist
94,63,53,72,97,74,89,82,70,7,7,1,4,6,yes,yes,Network Engineer
77,70,72,87,84,55,92,89,71,7,7,1,8,4,yes,no,Database Administrator
63,65,56,71,64,48,68,73,94,8,6,4,5,7,yes,yes,UI/UX Designer
57,74,53,60,57,36,67,79,86,8,7,1,3,8,yes,yes,Business Analyst
78,76,90,80,74,59,74,58,76,8,7,3,7,5,yes,yes,Web Developer
54,47,73,72,49,46,63,55,83,6,7,2,5,7,yes,yes,UI/UX Designer
83,81,93,71,72,53,61,71,70,8,7,4,8,6,no,yes,Web Developer
83,81,77,81,97,83,80,70,66,7,8,2,8,6,yes,yes,Cybersecurity Analyst
81,68,64,66,96,78,84,71,61,7,6,2,6,7,no,yes,Network Engineer
78,62,65,64,91,81,74,75,60,10,6,0,5,6,yes,yes,Network Engineer
96,83,88,82,93,82,74,75,76,9,9,4,7,5,yes,yes,Cybersecurity Analyst
86,72,71,80,83,59,93,73,84,9,7,0,7,6,no,yes,Systems Analyst
71,86,94,81,60,45,76,90,73,9,8,3,9,7,yes,yes,Machine Learning Engineer
89,62,56,69,93,77,81,72,70,7,8,0,4,5,no,yes,Network Engineer
61,58,66,63,49,41,50,82,83,6,8,1,3,8,yes,yes,Business Analyst
83,74,79,89,88,61,93,78,80,10,9,3,8,7,yes,no,Cloud Architect
87,85,84,87,73,68,80,74,82,7,7,0,7,6,yes,yes,Systems Analyst
84,88,77,79,96,74,88,89,70,9,8,1,8,6,yes,yes,Cybersecurity Analyst
76,73,78,80,74,52,66,75,79,6,7,2,6,6,no,yes,Quality Assurance Engineer
81,68,67,83,74,59,62,76,84,6,8,1,6,6,yes,yes,Quality Assurance Engineer
78,87,85,82,73,64,80,94,71,11,8,6,8,5,yes,yes,Machine Learning Engineer
81,79,68,82,83,68,93,83,87,9,7,1,6,6,no,yes,Systems Analyst
80,95,75,68,53,46,67,85,74,10,9,1,8,7,yes,yes,Data Scientist
76,88,87,82,77,55,79,89,70,11,8,5,8,6,yes,yes,Machine Learning Engineer
91,78,73,75,78,63,83,69,73,11,8,1,7,8,yes,yes,DevOps Engineer
72,97,77,76,52,61,65,86,81,8,9,1,9,6,no,yes,Data Scientist
81,76,83,74,74,38,59,64,75,6,7,4,8,7,no,yes,Web Developer
68,65,77,85,62,56,77,74,85,6,7,3,6,7,no,yes,Quality Assurance Engineer
85,88,65,74,83,61,85,82,79,7,7,0,7,5,yes,yes,Database Administrator
83,74,78,72,66,59,71,77,84,8,6,5,9,6,yes,yes,Web Developer
72,76,65,86,65,42,64,78,81,6,7,1,6,7,no,no,Quality Assurance Engineer
76,71,70,87,70,52,93,71,71,9,8,1,7,4,yes,yes,Database Administrator
79,70,67,71,90,86,85,82,61,10,6,2,5,6,yes,yes,Network Engineer
53,74,67,71,59,44,55,78,90,7,7,0,4,9,yes,no,Business Analyst
83,73,82,83,75,43,65,67,80,10,7,3,9,5,no,yes,Mobile App Developer
76,70,90,81,83,39,71,77,65,9,8,1,9,6,yes,yes,Web Developer
85,85,72,85,86,70,88,83,77,10,9,2,7,7,yes,yes,Cloud Architect
88,89,78,73,91,80,85,86,77,7,8,3,7,5,yes,yes,Cybersecurity Analyst
81,88,75,73,96,66,87,78,68,7,9,4,8,5,yes,yes,Cybersecurity Analyst
65,83,87,83,68,41,62,79,77,9,8,4,7,6,yes,yes,Web Developer
83,95,85,88,57,63,84,96,75,12,9,2,8,7,no,yes,Machine Learning Engineer
61,68,51,72,71,55,62,77,94,9,7,0,5,9,yes,yes,Project Manager
76,81,72,74,74,60,79,86,64,8,7,0,6,6,no,yes,Database Administrator
92,77,82,89,88,52,85,77,73,9,8,3,7,6,no,yes,DevOps Engineer
81,74,73,61,88,70,75,65,71,8,7,2,5,6,yes,yes,Network Engineer
61,69,80,81,82,56,76,55,81,7,8,2,9,6,yes,yes,Web Developer
88,66,83,90,75,46,81,69,70,12,7,1,9,6,yes,yes,DevOps Engineer
62,69,66,74,74,43,65,77,89,7,8,2,5,8,no,yes,Project Manager
88,89,87,76,91,78,82,76,74,8,9,2,7,6,yes,yes,Cybersecurity Analyst
93,65,79,90,78,55,90,79,70,10,7,2,7,6,yes,no,DevOps Engineer
74,91,96,91,61,41,86,92,64,6,7,4,8,5,no,yes,Software Engineer
92,69,75,75,80,62,83,83,84,9,9,4,8,6,yes,yes,DevOps Engineer
88,86,78,79,86,70,80,77,70,11,9,3,7,6,yes,yes,Cybersecurity Analyst
56,62,51,77,50,53,48,72,80,7,7,0,5,9,no,yes,Business Analyst
91,84,87,75,75,68,88,63,74,10,9,3,7,6,yes,yes,DevOps Engineer
63,64,63,67,63,38,54,72,83,9,8,1,3,9,yes,yes,Business Analyst
94,72,73,74,88,84,73,67,68,7,6,1,4,7,yes,no,Network Engineer
55,74,56,78,71,60,67,69,95,8,8,2,5,9,yes,yes,Project Manager
66,88,90,77,58,59,63,90,79,8,9,2,7,6,yes,yes,Data Scientist
69,51,57,64,45,49,52,57,83,8,7,2,5,7,yes,yes,UI/UX Designer
80,81,80,69,85,70,77,79,76,8,8,2,8,6,yes,yes,Cybersecurity Analyst
69,84,69,87,67,55,77,80,70,9,8,1,7,7,yes,yes,Quality Assurance Engineer
87,92,88,81,68,60,76,96,84,12,8,6,9,5,yes,yes,Machine Learning Engineer
71,67,84,76,77,64,70,65,85,6,8,2,6,7,yes,yes,Quality Assurance Engineer
76,88,82,81,58,57,84,88,71,8,9,3,9,7,yes,yes,Machine Learning Engineer
71,87,93,83,70,66,68,97,83,12,9,5,8,5,yes,yes,Machine Learning Engineer
79,79,81,88,82,71,81,82,86,10,7,1,7,7,yes,yes,Systems Analyst
90,80,89,78,91,57,85,62,78,12,9,4,9,8,yes,yes,DevOps Engineer
83,68,78,88,68,48,76,79,79,6,7,1,7,6,yes,yes,Quality Assurance Engineer
89,93,94,90,80,44,67,81,84,9,9,6,7,6,no,yes,Software Engineer
80,84,93,88,76,39,64,71,69,7,8,4,7,7,no,yes,Web Developer
58,55,51,82,67,41,73,75,91,7,7,0,5,9,yes,no,Project Manager
83,76,90,75,78,60,68,88,80,8,9,5,7,6,no,yes,Software Engineer
70,70,84,86,65,57,72,66,77,10,8,6,7,5,yes,yes,Mobile App Developer
85,94,86,89,55,67,73,89,81,8,9,3,9,7,yes,yes,Machine Learning Engineer
80,69,80,78,70,53,72,72,84,7,7,1,6,6,no,yes,Quality Assurance Engineer
78,87,94,84,75,46,81,92,80,11,8,7,9,4,no,no,Software Engineer
64,56,63,64,48,46,65,58,77,6,6,2,6,7,no,yes,UI/UX Designer
89,57,72,56,80,78,78,82,66,9,7,2,5,7,no,yes,Network Engineer
77,72,80,81,74,63,61,66,79,9,7,3,6,7,yes,yes,Quality Assurance Engineer
63,55,69,68,61,48,57,82,94,7,7,1,4,9,no,yes,Business Analyst
58,46,58,68,59,47,69,57,93,8,6,4,7,8,yes,yes,UI/UX Designer
78,97,84,82,75,58,71,94,73,10,9,2,9,6,yes,yes,Machine Learning Engineer
76,74,71,80,73,68,81,81,79,7,7,2,6,7,yes,no,Systems Analyst
63,66,72,79,50,38,61,62,93,7,6,3,7,8,no,yes,UI/UX Designer
84,71,70,77,74,61,86,79,70,9,7,2,7,7,yes,no,Systems Analyst
87,89,80,75,77,43,88,70,79,7,8,1,6,5,yes,no,Database Administrator
91,78,80,94,76,51,79,70,73,11,7,7,9,6,yes,yes,Software Engineer
50,67,64,60,50,41,66,58,81,6,6,4,5,8,no,no,UI/UX Designer
89,91,83,86,71,45,81,89,70,11,9,4,8,7,no,yes,Machine Learning Engineer
70,69,57,78,65,41,67,63,88,7,7,1,6,8,yes,yes,Project Manager
88,72,69,87,65,47,93,86,76,9,7,1,7,5,no,yes,Database Administrator
80,68,57,56,96,74,83,84,79,7,6,0,5,7,no,no,Network Engineer
67,70,45,69,63,50,58,71,87,7,8,1,5,8,yes,yes,Business Analyst
85,71,72,57,87,89,73,80,66,8,7,0,5,6,yes,yes,Network Engineer
91,86,70,68,92,60,84,87,65,9,8,2,7,7,yes,yes,Cybersecurity Analyst
96,82,70,82,77,69,79,82,77,10,8,2,7,8,no,yes,DevOps Engineer
71,74,68,84,62,63,68,77,70,8,7,3,6,6,yes,yes,Quality Assurance Engineer
52,69,52,65,53,59,55,71,88,7,7,1,4,8,yes,no,Business Analyst
75,85,84,79,69,59,84,92,65,10,8,3,8,7,yes,yes,Machine Learning Engineer
75,71,72,78,63,58,68,81,87,6,8,2,6,7,yes,yes,Quality Assurance Engineer
67,71,88,72,82,50,77,73,83,7,6,1,8,5,yes,yes,Web Developer
63,55,55,63,50,56,54,52,76,8,6,3,7,7,yes,yes,UI/UX Designer
84,68,72,63,93,72,89,75,61,8,8,2,6,5,yes,yes,Network Engineer
62,69,46,69,46,55,56,74,91,8,7,1,4,8,no,yes,Business Analyst
75,95,86,89,66,65,84,89,69,8,9,3,8,7,yes,yes,Machine Learning Engineer
78,70,75,86,72,53,75,55,69,8,7,5,8,7,no,yes,Web Developer
67,87,89,71,55,48,79,96,70,9,9,2,7,7,yes,yes,Data Scientist
59,60,61,60,46,48,48,78,86,7,7,0,3,8,yes,yes,Business Analyst
95,84,84,75,91,68,87,74,85,9,7,4,9,8,yes,yes,DevOps Engineer
86,80,72,75,89,52,90,67,76,8,8,3,8,8,yes,yes,Cloud Architect
52,55,47,64,51,37,48,86,82,8,8,0,4,9,yes,yes,Business Analyst
87,73,80,85,90,54,86,84,75,11,8,2,8,8,yes,yes,DevOps Engineer
70,91,94,82,63,41,68,89,89,8,8,1,9,7,yes,yes,Data Scientist
82,89,88,84,70,56,83,84,84,9,7,3,9,7,yes,yes,Mobile App Developer
85,87,93,90,70,49,76,73,68,8,8,2,9,6,no,yes,Mobile App Developer
77,74,88,87,64,58,80,83,82,10,8,3,9,5,no,no,Mobile App Developer
68,89,83,89,64,63,68,61,71,6,8,2,8,7,yes,yes,Mobile App Developer
76,85,94,86,78,49,66,71,84,10,8,2,9,6,yes,no,Mobile App Developer
85,73,84,82,69,61,81,78,67,7,8,1,7,6,yes,yes,Database Administrator
86,89,70,74,74,48,87,88,65,10,8,2,8,6,yes,no,Database Administrator
96,79,78,84,82,65,87,77,74,8,9,4,7,7,yes,yes,DevOps Engineer
66,70,65,71,46,42,56,85,87,9,8,1,5,9,yes,no,Business Analyst
71,97,90,78,75,65,80,92,68,8,9,3,9,7,yes,yes,Machine Learning Engineer
55,74,67,85,59,58,58,65,96,9,8,2,6,8,yes,no,Project Manager
95,79,77,80,85,82,75,80,80,11,9,3,7,5,yes,yes,Cybersecurity Analyst
68,78,92,86,82,39,74,74,73,8,7,1,8,6,no,no,Web Developer
51,68,52,69,62,49,49,82,81,9,7,1,3,8,no,no,Business Analyst
52,66,60,64,54,49,58,83,86,6,8,1,4,8,no,yes,Business Analyst
77,88,72,87,74,46,83,70,78,7,7,0,8,6,yes,no,Database Administrator
52,58,66,73,48,47,65,65,79,9,6,2,6,8,no,yes,UI/UX Designer
87,82,73,81,85,57,90,68,87,9,8,1,7,6,yes,no,Cloud Architect
56,70,68,63,60,51,46,85,83,8,8,1,4,9,no,yes,Business Analyst
87,70,81,82,82,58,96,78,87,8,8,2,7,6,yes,yes,Cloud Architect
96,90,74,67,95,74,71,82,72,9,9,1,8,7,yes,yes,Cybersecurity Analyst
77,86,77,84,86,57,92,75,83,9,8,1,7,6,yes,yes,Systems Analyst
79,84,87,80,62,45,75,61,71,8,8,5,7,7,yes,yes,Mobile App Developer
84,70,95,76,66,45,64,63,66,7,8,6,8,6,yes,yes,Mobile App Developer
84,85,72,79,68,58,93,84,73,7,8,1,8,5,yes,yes,Database Administrator
58,67,62,79,52,56,55,52,79,6,6,4,7,7,yes,yes,UI/UX Designer
92,68,83,77,79,51,75,82,81,10,7,2,8,7,yes,no,DevOps Engineer
74,78,75,74,67,56,76,70,66,8,8,0,8,6,yes,yes,Database Administrator
51,65,58,64,53,41,69,83,90,9,8,1,5,8,no,yes,Business Analyst
66,59,65,81,56,45,58,72,89,9,7,1,6,9,yes,yes,Project Manager
71,89,80,84,79,66,73,90,79,11,8,5,8,7,yes,yes,Machine Learning Engineer
93,79,77,71,91,63,87,74,80,9,8,3,7,6,yes,no,Cybersecurity Analyst
81,66,70,61,91,84,71,73,72,10,7,1,6,7,no,yes,Network Engineer
67,50,64,73,52,37,68,61,86,8,7,3,7,8,no,yes,UI/UX Designer
68,72,81,73,82,37,60,66,76,6,7,1,7,7,no,yes,Web Developer
90,86,69,84,76,71,83,80,81,7,7,1,6,6,yes,yes,Systems Analyst
63,65,89,77,76,56,76,72,79,6,6,2,8,5,yes,yes,Web Developer
67,73,66,70,60,58,74,60,87,7,7,1,6,9,yes,yes,Project Manager
66,88,75,72,72,45,65,90,87,7,8,4,8,6,yes,yes,Data Scientist
86,87,76,77,66,46,78,87,65,9,7,0,8,4,yes,yes,Database Administrator
67,68,65,86,72,41,68,71,82,7,8,1,7,6,no,no,Quality Assurance Engineer
83,87,77,83,89,61,84,71,75,11,8,2,7,5,no,yes,Cybersecurity Analyst
71,86,92,67,50,63,63,90,78,10,9,4,7,7,yes,yes,Data Scientist
83,94,89,87,68,53,83,97,66,10,8,3,8,7,yes,yes,Machine Learning Engineer
82,87,86,80,91,56,90,76,78,8,8,3,8,6,yes,yes,Cloud Architect
81,75,91,79,84,56,80,84,82,10,7,7,8,6,yes,yes,Software Engineer
84,80,65,87,76,51,85,77,66,9,7,1,8,5,yes,no,Database Administrator
91,81,73,85,83,56,84,73,85,8,7,1,6,6,yes,yes,Systems Analyst
83,82,73,82,85,66,81,85,82,7,7,1,7,7,yes,no,Systems Analyst
83,75,82,83,91,67,92,82,71,8,8,1,8,7,yes,yes,Cloud Architect
80,78,94,76,76,51,71,64,83,7,8,2,8,7,yes,yes,Web Developer
88,71,67,57,81,70,79,78,76,10,6,0,6,7,yes,yes,Network Engineer
93,68,86,88,90,58,90,83,77,10,7,3,7,7,yes,yes,DevOps Engineer
77,86,88,81,72,60,69,94,79,12,8,2,8,7,yes,yes,Machine Learning Engineer
77,71,70,85,72,55,90,82,74,8,8,2,7,6,yes,yes,Systems Analyst
91,87,78,83,76,61,93,84,81,10,8,0,7,7,yes,yes,Systems Analyst
65,62,57,79,64,44,65,52,85,6,7,4,5,7,no,yes,UI/UX Designer
87,88,74,72,93,65,85,73,76,9,8,3,8,6,yes,yes,Cybersecurity Analyst
85,96,84,82,64,54,82,97,73,11,9,4,8,7,yes,yes,Machine Learning Engineer
83,79,81,85,68,63,67,78,62,6,8,5,8,4,no,yes,Software Engineer
54,56,57,77,56,48,49,79,83,7,8,1,5,9,yes,yes,Business Analyst
64,72,71,70,58,64,58,61,91,8,7,0,4,9,yes,yes,Project Manager
